"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.959704125E0,5.166727677E-2,7.965835743E-3,-4.871758167E-3,5.250424798E-2
1.969679125E0,1.449513994E-2,-6.199034676E-2,-8.839068934E-3,6.427317724E-2
1.979655125E0,-1.903707907E-2,-1.473770738E-1,-1.180740818E-2,1.490698733E-1
1.989630125E0,-5.656368285E-2,-2.441249192E-1,-3.893558867E-3,2.506223976E-1
1.999605125E0,-9.278860688E-2,-3.310896456E-1,2.921609208E-3,3.438584226E-1
2.009581125E0,-1.193653569E-1,-4.066693485E-1,8.323565125E-3,4.239072176E-1
2.019556125E0,-1.428750753E-1,-4.632277787E-1,1.317683607E-2,4.849400902E-1
2.029532125E0,-1.628059149E-1,-5.052061677E-1,1.870715618E-2,5.311205094E-1
2.039507125E0,-1.725730449E-1,-5.275009274E-1,2.697322518E-2,5.556673818E-1
2.049482125E0,-1.806911528E-1,-5.446602106E-1,3.450491279E-2,5.748866208E-1
2.059458125E0,-1.778987050E-1,-5.404025316E-1,3.833644465E-2,5.702214731E-1
2.069433125E0,-1.696551591E-1,-5.302439332E-1,4.115832970E-2,5.582432354E-1
2.079411500E0,-1.579009891E-1,-5.160501599E-1,3.497879580E-2,5.407994139E-1
2.089387500E0,-1.437766403E-1,-5.146954060E-1,2.559967339E-2,5.350125480E-1
2.099362500E0,-1.189548597E-1,-5.303741693E-1,2.215831354E-2,5.440018465E-1
2.109338500E0,-9.914999455E-2,-5.544318557E-1,1.632093079E-2,5.634640865E-1
2.119313500E0,-7.656101137E-2,-5.979405046E-1,8.325654082E-3,6.028795501E-1
2.129288500E0,-4.960316420E-2,-6.500385404E-1,2.396658063E-3,6.519327587E-1
2.139264500E0,-2.056923136E-2,-7.131078243E-1,-9.274687618E-3,7.134647029E-1
2.149239500E0,4.187248647E-3,-7.847335339E-1,-1.140548289E-2,7.848275844E-1
2.159214500E0,3.012365848E-2,-8.513823152E-1,-9.954368696E-3,8.519732219E-1
2.169190500E0,5.430143327E-2,-9.084080458E-1,-1.094746124E-2,9.100954182E-1
2.179165500E0,8.072219789E-2,-9.484322071E-1,-1.140593085E-2,9.519295247E-1
2.189141500E0,1.000913680E-1,-9.680082798E-1,-1.174947899E-2,9.732401358E-1
2.199116500E0,1.201868355E-1,-9.726018310E-1,-1.163729466E-2,9.800686831E-1
2.209091500E0,1.313039362E-1,-9.628155231E-1,-1.182850916E-2,9.717995518E-1
2.219067500E0,1.351174712E-1,-9.378504157E-1,-1.369161904E-2,9.476326259E-1
2.229042500E0,1.404179484E-1,-9.053630233E-1,-1.266443823E-2,9.162749544E-1
2.239017500E0,1.377886832E-1,-8.716244698E-1,-1.653734222E-2,8.826032071E-1
2.248993500E0,1.242845953E-1,-8.437837958E-1,-2.170014754E-2,8.531639064E-1
2.258968500E0,1.136360615E-1,-8.264592886E-1,-1.859654114E-2,8.344422937E-1
2.268944500E0,9.094380587E-2,-8.246259689E-1,-1.860373095E-2,8.298342384E-1
2.278919500E0,6.519957632E-2,-8.313837647E-1,-1.570636220E-2,8.340843116E-1
2.288894500E0,3.455058485E-2,-8.493396044E-1,-1.236968767E-2,8.501320578E-1
2.298870500E0,6.997284945E-3,-8.735408187E-1,-5.805016495E-3,8.735881307E-1
2.308845500E0,-2.143941633E-2,-9.015240073E-1,-3.900658339E-5,9.017789008E-1
2.318821500E0,-5.249103531E-2,-9.258093834E-1,9.163729846E-3,9.273415213E-1
2.328796500E0,-8.564046770E-2,-9.456962347E-1,1.850183681E-2,9.497462693E-1
2.338771500E0,-1.089402065E-1,-9.477699995E-1,2.808613703E-2,9.544237904E-1
2.348747500E0,-1.276545078E-1,-9.307957888E-1,3.402631730E-2,9.401246003E-1
2.358722500E0,-1.477802992E-1,-9.013376236E-1,3.908401355E-2,9.142079023E-1
2.368697500E0,-1.604236513E-1,-8.608360291E-1,4.078098014E-2,8.766056726E-1
2.378673500E0,-1.639886200E-1,-8.082517982E-1,4.152166098E-2,8.257646669E-1
2.388648500E0,-1.686901599E-1,-7.479234934E-1,3.998980671E-2,7.677532850E-1
2.398624500E0,-1.661420465E-1,-6.848137975E-1,3.618936241E-2,7.056080971E-1
2.408599500E0,-1.587890536E-1,-6.306712031E-1,3.338638321E-2,6.512102430E-1
2.418574500E0,-1.430123299E-1,-5.855442286E-1,2.602749318E-2,6.033174956E-1
2.428550500E0,-1.288349926E-1,-5.524906516E-1,2.201117948E-2,5.677401408E-1
2.438525500E0,-1.090547591E-1,-5.297540426E-1,1.900348067E-2,5.411962846E-1
2.448501500E0,-9.066882730E-2,-5.158984065E-1,1.267794054E-2,5.239587124E-1
2.458476500E0,-6.878018379E-2,-5.052179098E-1,8.076989092E-3,5.099422397E-1
2.468451500E0,-3.871708736E-2,-4.923966825E-1,-1.600405667E-3,4.939190896E-1
2.478427500E0,-1.862056926E-2,-4.824215472E-1,-3.927295096E-3,4.827967465E-1
2.488402500E0,1.029283833E-2,-4.699406326E-1,-9.121790528E-3,4.701418379E-1
2.498377500E0,3.211650252E-2,-4.538509846E-1,-1.325828582E-2,4.551790506E-1
2.508353500E0,5.474591628E-2,-4.240251780E-1,-1.792574301E-2,4.279203187E-1
2.518328500E0,7.367753237E-2,-3.826207221E-1,-2.148505673E-2,3.902417243E-1
2.528304500E0,9.676127881E-2,-3.299508691E-1,-2.203153819E-2,3.445514617E-1
2.538279500E0,1.112793311E-1,-2.702853084E-1,-2.477416769E-2,2.933445020E-1
2.548254500E0,1.188200712E-1,-2.090363353E-1,-2.499707416E-2,2.417421199E-1
2.558230500E0,1.254487634E-1,-1.450533718E-1,-2.530081384E-2,1.934373389E-1
2.568205500E0,1.279681027E-1,-8.291462809E-2,-2.314844728E-2,1.542287958E-1
2.578180500E0,1.247178167E-1,-2.538563684E-2,-1.994068921E-2,1.288277744E-1
2.588156500E0,1.167789251E-1,2.387432009E-2,-1.883760840E-2,1.206737585E-1
2.598131500E0,1.066359505E-1,6.547387689E-2,-1.436267979E-2,1.259537259E-1
2.608107500E0,8.935922384E-2,9.992213547E-2,-1.238288544E-2,1.346210975E-1
2.618082500E0,7.105611265E-2,1.229536682E-1,-1.100786310E-2,1.424350685E-1
2.628057500E0,4.717554897E-2,1.452366114E-1,-4.126254469E-3,1.527620099E-1
2.638033500E0,2.369087003E-2,1.713258177E-1,-2.618831117E-3,1.729758694E-1
2.648008500E0,1.185560133E-3,1.908846051E-1,-2.385271713E-3,1.909031889E-1
2.657984500E0,-1.964352839E-2,2.163770050E-1,4.100623541E-3,2.173055259E-1
2.667959500E0,-4.588951543E-2,2.445551157E-1,6.060710177E-3,2.488971363E-1
