"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.383139458E0,-1.871836483E-1,1.247626066E0,9.237722307E-2,1.264967221E0
1.393114458E0,-1.794231981E-1,1.327415228E0,8.962484449E-2,1.342481465E0
1.403089458E0,-1.664106995E-1,1.411708593E0,8.486169577E-2,1.424013757E0
1.413063458E0,-1.594918072E-1,1.508308411E0,7.875506580E-2,1.518760764E0
1.423038458E0,-1.415594816E-1,1.621581197E0,6.999819726E-2,1.629252716E0
1.433013458E0,-1.072510332E-1,1.725940347E0,6.135544181E-2,1.730357580E0
1.442988458E0,-7.107320428E-2,1.804235339E0,4.751276225E-2,1.806259677E0
1.452963458E0,-3.202807158E-2,1.842881322E0,2.504819818E-2,1.843329807E0
1.462938458E0,8.571725339E-3,1.848049283E0,-4.851150326E-3,1.848075529E0
1.472913458E0,4.619340226E-2,1.826685905E0,-3.959741443E-2,1.827698876E0
1.482887458E0,8.021469414E-2,1.783707500E0,-7.124518603E-2,1.786931089E0
1.492862458E0,1.180110723E-1,1.712349892E0,-1.050422937E-1,1.719622821E0
1.502837458E0,1.528057754E-1,1.625396490E0,-1.286011040E-1,1.637620713E0
1.512812458E0,1.842973828E-1,1.531314015E0,-1.549498737E-1,1.550128254E0
1.522787458E0,2.019290179E-1,1.444320321E0,-1.627079695E-1,1.467416233E0
1.532762458E0,2.133350670E-1,1.381903291E0,-1.629593819E-1,1.407737304E0
1.542737458E0,2.159485221E-1,1.331613660E0,-1.497023851E-1,1.357291239E0
1.552711458E0,2.214261144E-1,1.300410509E0,-1.234119236E-1,1.324887738E0
1.562686458E0,2.131562382E-1,1.286331654E0,-8.923128247E-2,1.306922693E0
1.572661458E0,1.985522658E-1,1.290508270E0,-5.183917284E-2,1.306721813E0
1.582636458E0,1.733862758E-1,1.302305579E0,-8.264875971E-3,1.313823021E0
1.592611458E0,1.439564824E-1,1.306048155E0,3.261118382E-2,1.314362485E0
1.602586458E0,1.058833450E-1,1.296496630E0,6.851002574E-2,1.302615990E0
1.612561458E0,6.686857343E-2,1.267549157E0,9.795073420E-2,1.273085472E0
1.622536458E0,2.291620150E-2,1.218160987E0,1.209860146E-1,1.224368800E0
1.632510458E0,-2.034658380E-2,1.142202377E0,1.361369938E-1,1.150466660E0
1.642485458E0,-6.348472089E-2,1.042649269E0,1.397699118E-1,1.053889670E0
1.652460458E0,-1.033077687E-1,9.255023599E-1,1.380276680E-1,9.414237889E-1
1.662435458E0,-1.364925653E-1,7.919138670E-1,1.309551150E-1,8.141910312E-1
1.672410458E0,-1.670054793E-1,6.536220908E-1,1.200412065E-1,6.852171619E-1
1.682385458E0,-1.890061945E-1,5.189515948E-1,1.074139178E-1,5.626471799E-1
1.692360458E0,-2.044392079E-1,3.973096311E-1,9.436203539E-2,4.566777052E-1
1.702334458E0,-2.122208923E-1,2.908308208E-1,9.548606724E-2,3.724753180E-1
1.712309458E0,-2.026441544E-1,2.126771361E-1,5.287469178E-2,2.984827475E-1
1.722284458E0,-2.065832317E-1,9.489248693E-2,3.859125078E-2,2.305872944E-1
1.732259458E0,-2.088676840E-1,8.531237021E-3,3.534139693E-2,2.120082682E-1
1.742234458E0,-1.832697988E-1,-2.195327915E-2,1.390780788E-2,1.851031948E-1
1.752209458E0,-1.370732784E-1,-1.824216358E-2,-1.458801515E-2,1.390491653E-1
1.762184458E0,-9.641955793E-2,-2.773329802E-2,-2.142786607E-2,1.025915221E-1
1.772158458E0,-6.116357073E-2,-6.222735718E-2,-3.909927234E-2,9.561369914E-2
1.782133458E0,-2.276059985E-2,-1.040637717E-1,-5.559191108E-2,1.201572888E-1
1.792108458E0,1.425440889E-2,-1.680012196E-1,-6.664695591E-2,1.812992408E-1
1.802083458E0,4.750875384E-2,-2.381671369E-1,-7.385142893E-2,2.538399109E-1
1.812058458E0,8.430831879E-2,-3.206966221E-1,-8.355545998E-2,3.419586685E-1
1.822033458E0,1.130214632E-1,-4.383312464E-1,-8.066663891E-2,4.597991293E-1
1.832008458E0,1.291631460E-1,-5.822966695E-1,-7.163452357E-2,6.007362437E-1
1.841983458E0,1.442614943E-1,-7.315077782E-1,-6.417722255E-2,7.483540099E-1
1.851957458E0,1.492514610E-1,-8.642099500E-1,-5.112800002E-2,8.784924067E-1
1.861932458E0,1.558649689E-1,-9.763383269E-1,-3.035942465E-2,9.891673831E-1
1.871907458E0,1.589744687E-1,-1.073413491E0,-1.861088909E-2,1.085281424E0
1.881882458E0,1.513565034E-1,-1.155905962E0,-3.959209658E-3,1.165780022E0
1.891857458E0,1.392239332E-1,-1.223585129E0,1.322244108E-2,1.231551340E0
1.901832458E0,1.173442453E-1,-1.267946243E0,2.535447665E-2,1.273616974E0
1.911807458E0,9.249243140E-2,-1.285841346E0,3.703670204E-2,1.289695520E0
1.921781458E0,6.611207128E-2,-1.276643395E0,4.382025450E-2,1.279104914E0
1.931753708E0,4.098888114E-2,-1.256572962E0,5.126405880E-2,1.258286017E0
1.941728708E0,1.075136568E-2,-1.240237594E0,5.618037656E-2,1.241555925E0
1.951703708E0,-2.191257104E-2,-1.250153065E0,5.288764462E-2,1.251463123E0
1.961678708E0,-5.562305450E-2,-1.263967156E0,4.814207554E-2,1.266106060E0
1.971653708E0,-9.026198834E-2,-1.281115294E0,4.064660519E-2,1.284934149E0
1.981628708E0,-1.127660796E-1,-1.311068892E0,3.174725920E-2,1.316292414E0
1.991602708E0,-1.368687451E-1,-1.362131834E0,1.942507923E-2,1.369128745E0
2.001577708E0,-1.549515873E-1,-1.428677559E0,2.578102052E-3,1.437058178E0
2.011552708E0,-1.683342308E-1,-1.503030777E0,-5.360780749E-3,1.512437327E0
2.021527708E0,-1.778782904E-1,-1.566936970E0,-1.817485504E-2,1.577105728E0
2.031502708E0,-1.738798171E-1,-1.616569519E0,-2.879101411E-2,1.626148863E0
2.041477708E0,-1.641087532E-1,-1.650306821E0,-3.623787314E-2,1.658842207E0
2.051452708E0,-1.465686411E-1,-1.665549159E0,-4.451524466E-2,1.672578242E0
2.061427708E0,-1.254486144E-1,-1.658593535E0,-5.386769027E-2,1.664202992E0
2.071401708E0,-9.769980609E-2,-1.632326245E0,-6.165184826E-2,1.636409232E0
2.081376708E0,-6.597676873E-2,-1.580500126E0,-7.448641211E-2,1.583629315E0
2.091351708E0,-2.910210378E-2,-1.509568214E0,-8.173021674E-2,1.512059177E0
2.101326708E0,8.288427256E-3,-1.433679342E0,-8.916193992E-2,1.436473114E0
2.111301708E0,4.232895374E-2,-1.355847716E0,-9.694955498E-2,1.359968377E0
