"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.783360000E-1,6.422179192E-2,-1.104223490E0,2.098165825E-2,1.106288472E0
8.883110000E-1,2.121414058E-2,-1.259372830E0,2.132041380E-2,1.259731926E0
8.982870000E-1,-2.272864431E-2,-1.375658631E0,2.345734090E-2,1.376046332E0
9.082620000E-1,-6.174635142E-2,-1.435040474E0,2.831814438E-2,1.436647379E0
9.182380000E-1,-9.780167788E-2,-1.442930698E0,2.979911119E-2,1.446548359E0
9.282130000E-1,-1.279313564E-1,-1.396105647E0,3.362527490E-2,1.402358039E0
9.381890000E-1,-1.475718766E-1,-1.309565187E0,3.455240279E-2,1.318306605E0
9.481650000E-1,-1.625915766E-1,-1.186719418E0,3.687361255E-2,1.198373339E0
9.581400000E-1,-1.732775718E-1,-1.048480511E0,3.488242626E-2,1.063274791E0
9.681160000E-1,-1.734882295E-1,-9.152891636E-1,3.485206515E-2,9.322376764E-1
9.780910000E-1,-1.674069166E-1,-7.992147803E-1,2.960298024E-2,8.170958801E-1
9.880670000E-1,-1.653927714E-1,-7.210618854E-1,1.885286346E-2,7.400273250E-1
9.980420000E-1,-1.490384936E-1,-6.864549518E-1,1.274843793E-2,7.025634463E-1
1.008018000E0,-1.338267922E-1,-7.015851736E-1,5.872688256E-3,7.142589549E-1
1.017993000E0,-1.187930331E-1,-7.570554018E-1,-4.274695180E-3,7.663308288E-1
1.027969000E0,-9.892132133E-2,-8.412017226E-1,-1.193181612E-2,8.470821295E-1
1.037945000E0,-7.758034766E-2,-9.453146458E-1,-1.831134409E-2,9.486694868E-1
1.047920000E0,-4.596676677E-2,-1.056337714E0,-2.057503164E-2,1.057537537E0
1.057896000E0,-1.792366244E-2,-1.159879684E0,-2.883556485E-2,1.160376503E0
1.067871000E0,7.896483876E-3,-1.235948086E0,-2.729679272E-2,1.236274703E0
1.077843000E0,3.882903978E-2,-1.283692122E0,-2.257939428E-2,1.284477709E0
